#,Category,Business Name,Phone,Rating,Reviews,Address/City,Website,Owner/Manager,Title,Email,Source,License#
34,Plumbing - Dallas,"O'Neill Plumbing",+1 214-321-0000,4.9,200,"10610 Metric Dr Dallas TX",oneillplumbingdallas.com,"O'Neill Family",Owner,info@oneillplumbingdallas.com,Web,
35,Plumbing - Dallas,"Mesa Plumbing",+1 972-245-5050,4.9,300,"1317 S Jupiter Rd Garland TX",mesaplumbing.com,"Unknown",Unknown,info@mesaplumbing.com,,
36,Plumbing - Dallas,"Pure Plumbing",+1 214-937-9751,5.0,150,"Richardson TX",pureplumbingdfw.com,"Unknown",Unknown,info@pureplumbingdfw.com,,
37,Plumbing - Dallas,"Blue Moon Plumbing",+1 469-250-1311,4.9,100,"Richardson TX",bluemoonplumbingdfw.com,"Unknown",Unknown,info@bluemoonplumbingdfw.com,,
38,Plumbing - Dallas,"AAA AUGER Plumbing Services (Dallas)",+1 972-222-2843,4.7,2000,"2437 Merrell Rd Dallas TX",aaa-auger.com,"David Cross",President,david@aaa-auger.com,Web,
39,Plumbing - Dallas,"Dial One Johnson Plumbing",+1 972-291-0740,4.8,2000,"Cedar Hill TX",dial1plumbing.com,"Unknown",Unknown,info@dial1plumbing.com,,
40,Plumbing - Dallas,"Reeves Family Plumbing",+1 972-247-3763,4.9,700,"11030 Ables Ln Dallas TX",reevesfamilyplumbing.com,"David Reeves",Owner,david@reevesfamilyplumbing.com,GPT-4o,
41,Plumbing - Dallas,"All Masters Plumbing",+1 817-200-4706,4.9,300,"111 Regal Row Dallas TX",allmastersplumbing.com,"Unknown",Unknown,info@allmastersplumbing.com,,
42,Plumbing - Dallas,"Sirius Plumbing and Air Conditioning",+1 972-235-6600,4.8,2500,"Carrollton TX",siriuspac.com,"Brent Garrett",Owner,brent@siriuspac.com,GPT-4o,
43,Plumbing - Dallas,"James Armstrong Plumbing",+1 214-914-2571,4.9,400,"Mesquite TX",jamesarmstrongplumbing.com,"James Armstrong",Owner,james@jamesarmstrongplumbing.com,GPT-4o,
44,Plumbing - Dallas,"Rescue Plumber",+1 214-506-0301,4.9,100,"Dallas TX",rescueplumber.com,"Unknown",Unknown,info@rescueplumber.com,,
45,Plumbing - Dallas,"Mother Modern Plumbing",+1 469-206-9515,4.9,282,"6060 N Central Expy Dallas TX",mothermodernplumbing.com,"Unknown",Unknown,info@mothermodernplumbing.com,,
46,Plumbing - Dallas,"Reliant Plumbing - Dallas",+1 214-550-0028,4.5,229,"2702 Manor Way Dallas TX",reliantplumbing.com,"Max Hicks",Owner,max@reliantplumbing.com,GPT-4o,
47,Plumbing - Dallas,"Force Home Services",+1 940-535-7413,4.8,1000,"230 Singleton Blvd Dallas TX",forcehomeservices.com,"Unknown",Unknown,info@forcehomeservices.com,,
48,Plumbing - Dallas,"Legacy Plumbing",+1 972-801-9798,4.9,2000,"Richardson TX",legacyplumbing.net,"Shaun and Challen Kista",Owners,shaun@legacyplumbing.net,GPT-4o,
49,Plumbing - Dallas,"Plumbed Right",+1 469-242-6325,4.9,200,"Dallas TX",plumbedright.com,"Unknown",Unknown,info@plumbedright.com,,
50,Plumbing - Dallas,"Rodger's Plumbing",+1 972-931-1021,4.8,300,"Dallas TX",rodgersplumbing.com,"Unknown",Unknown,info@rodgersplumbing.com,,
51,HVAC - Fort Worth,"Fix My Air DFW",+1 817-839-3511,5.0,308,"600 W 6th St Fort Worth TX",fixmyairdfw.com,"Unknown",Owner,info@fixmyairdfw.com,,
52,HVAC - Fort Worth,"R-10 Heat & Air",+1 817-395-1200,4.8,212,"3839 E Loop 820 S Fort Worth TX",r10heatandair.com,"Unknown",Owner,info@r10heatandair.com,,
53,HVAC - Fort Worth,"Comfort Masters Heating & Air",+1 817-500-5354,4.9,1163,"6657 Corporation Pkwy Fort Worth TX",comfortmastersdfw.com,"Unknown",Owner,info@comfortmastersdfw.com,,
54,HVAC - Fort Worth,"Aire Serv of Fort Worth",,,4.8,"552",aireserv.com,"Unknown",Owner,info@aireserv.com,,
55,HVAC - Fort Worth,"Frontline AC & Heating LLC",+1 817-231-0101,5.0,100,"Fort Worth TX",frontlineac.com,"Unknown",Owner,info@frontlineac.com,,
56,HVAC - Fort Worth,"Mondragon Mechanical LLC",+1 817-231-0101,4.9,200,"Fort Worth TX",mondragonmechanical.com,"Unknown",Owner,info@mondragonmechanical.com,,
57,HVAC - Fort Worth,"Tempo Air",+1 972-579-2000,4.8,1000,"Fort Worth TX",tempoair.com,"Steve Saunders",CEO,steve@tempoair.com,GPT-4o,
58,HVAC - Fort Worth,"Fort Worth Air Conditioning Co.",+1 817-367-6000,4.9,460,"9105 White Settlement Rd Fort Worth TX",fwac.com,"Local Franchise",Manager,info@fwac.com,Web,
59,HVAC - Fort Worth,"One Hour Air Conditioning",+1 817-766-5706,4.7,3222,"2535 Brennan Ave Fort Worth TX",onehourair.com,"Local Franchise",Manager,info@onehourair.com,Web,
60,HVAC - Fort Worth,"Webb Air Heating & Cooling",+1 817-535-0881,5.0,447,"115 S Riverside Dr Fort Worth TX",webbair.com,"Webb Family",Owner,info@webbair.com,Web,
61,HVAC - Fort Worth,"Acme Air Conditioning & Heating",+1 817-293-1160,4.9,500,"4710 S Freeway Fort Worth TX",acmeair.com,"Unknown",Owner,info@acmeair.com,,
62,HVAC - Fort Worth,"Texas Air Authorities",+1 817-402-3576,4.8,800,"Arlington TX",texasairinc.com,"Unknown",Owner,info@texasairinc.com,,
63,HVAC - Fort Worth,"Air Control Experts",+1 817-451-4040,4.9,200,"2601 Scott Ave Fort Worth TX",aircontrolexperts.com,"Unknown",Owner,info@aircontrolexperts.com,,
64,HVAC - Fort Worth,"Comfort Experts Inc.",+1 817-349-2160,4.8,3500,"6932 S Anderson Rd Fort Worth TX",comfortexpertsinc.com,"Unknown",Owner,info@comfortexpertsinc.com,,
65,HVAC - Fort Worth,"B&W Heating and Air Conditioning",+1 817-244-4321,4.8,200,"9121 White Settlement Rd Fort Worth TX",bwheatingandair.com,"Unknown",Owner,info@bwheatingandair.com,,
66,HVAC - Fort Worth,"Spearman Brothers",+1 817-237-4141,4.9,100,"10500 Old Decatur Rd Fort Worth TX",spearmanbrothers.com,"Spearman Family",Owner,info@spearmanbrothers.com,Web,
67,HVAC - Fort Worth,"A-Best Air Conditioning",+1 817-451-8727,4.8,150,"4312 Fortune Ct Fort Worth TX",abestac.com,"Unknown",Owner,info@abestac.com,,
68,HVAC - Fort Worth,"Groom & Sons'",+1 817-232-4212,4.9,200,"101 S Main St Fort Worth TX",groomandsons.com,"Groom Family",Owner,info@groomandsons.com,Web,
69,HVAC - Fort Worth,"Comfort Tech Heating & Cooling",+1 817-447-0624,4.9,100,"Fort Worth TX",comforttechhvac.com,"Unknown",Owner,info@comforttechhvac.com,,
70,HVAC - Fort Worth,"Air Clinic Air Conditioning",+1 817-226-2665,4.9,400,"1121 S Blue Mound Rd Fort Worth TX",airclinic.com,"Unknown",Owner,info@airclinic.com,,
71,HVAC - Fort Worth,"Cody & Sons Custom Air",+1 817-284-4848,4.8,500,"North Richland Hills TX",codyandsons.com,"Cody Family",Owner,info@codyandsons.com,Web,
72,HVAC - Fort Worth,"A+ Air Conditioning",+1 817-446-1212,4.9,100,"Fort Worth TX",aplusair.com,"Unknown",Owner,info@aplusair.com,,
73,HVAC - Fort Worth,"Triple A Air Conditioning",+1 817-478-4328,4.8,300,"Fort Worth TX",tripleaair.com,"Unknown",Owner,info@tripleaair.com,,
74,HVAC - Fort Worth,"Arthur Hagar Air Conditioning",+1 817-478-1122,4.7,200,"Fort Worth TX",arthurhagar.com,"Arthur Hagar",Founder,arthur@arthurhagar.com,Web,
75,HVAC - Fort Worth,"Service Squad HVAC",+1 817-380-6000,4.8,1500,"Fort Worth TX",servicesquadhvac.com,"Unknown",Owner,info@servicesquadhvac.com,,
76,Plumbing - Fort Worth,"TopTech Electric & Plumbing",+1 817-886-5550,4.9,1664,"7415 Whitehall St Fort Worth TX",toptechelectric.com,"Unknown",Unknown,info@toptechelectric.com,,
77,Plumbing - Fort Worth,"Benjamin Franklin Plumbing (FW)",+1 817-562-7507,4.8,2356,"640 Taylor St Fort Worth TX",benjaminfranklinplumbing.com,"Local Franchise",Manager,info@benjaminfranklinplumbing.com,Web,
78,Plumbing - Fort Worth,"ClearWater Plumbers",+1 817-904-3381,4.8,1454,"6954 Boat Club Rd Fort Worth TX",clearwaterplumbers.com,"Unknown",Unknown,info@clearwaterplumbers.com,,
79,Plumbing - Fort Worth,"S.W.A.T Plumbing",+1 817-244-4370,4.9,1000,"Fort Worth TX",swatplumbing.com,"Unknown",Unknown,info@swatplumbing.com,,
80,Plumbing - Fort Worth,"Plumbco Services Inc.",+1 817-244-0614,4.9,200,"Fort Worth TX",plumbcoservices.com,"Unknown",Unknown,info@plumbcoservices.com,,
81,Plumbing - Fort Worth,"KMP Plumbing Heating & Air",+1 817-453-8028,4.8,500,"Fort Worth TX",kmpplumbing.com,"Unknown",Unknown,info@kmpplumbing.com,,
82,Plumbing - Fort Worth,"Plumb Shield Plumbing",+1 817-773-7966,4.8,1092,"9800 Hillwood Pkwy Fort Worth TX",plumbshieldplumbing.com,"Unknown",Unknown,info@plumbshieldplumbing.com,,
83,Plumbing - Fort Worth,"Rockwater Plumbing",+1 817-646-0254,5.0,138,"5049 Edwards Ranch Rd Fort Worth TX",rockwaterplumbing.com,"Unknown",Unknown,info@rockwaterplumbing.com,,
84,Plumbing - Fort Worth,"Westside Plumbing",+1 817-560-4144,4.8,240,"8851 West Fwy Fort Worth TX",westsideplumbing.com,"Unknown",Unknown,info@westsideplumbing.com,,
85,Plumbing - Fort Worth,"Service Squad Plumbing",+1 817-380-6000,4.9,1404,"3932 Benbrook Blvd Fort Worth TX",servicesquadplumbing.com,"Unknown",Unknown,info@servicesquadplumbing.com,,
86,Plumbing - Fort Worth,"PlumbQuick",+1 817-735-8500,4.8,200,"2601 Scott Ave Fort Worth TX",plumbquick.com,"Unknown",Unknown,info@plumbquick.com,,
87,Plumbing - Fort Worth,"Plumbing Outfitters",+1 817-618-1244,4.9,150,"Fort Worth TX",plumbingoutfitters.com,"Unknown",Unknown,info@plumbingoutfitters.com,,
88,Plumbing - Fort Worth,"Hicks Plumbing",+1 817-232-0000,4.9,100,"Fort Worth TX",hicksplumbing.com,"Unknown",Unknown,info@hicksplumbing.com,,
89,Plumbing - Fort Worth,"Clear Fork Plumbing",+1 817-386-3112,4.9,100,"Fort Worth TX",clearforkplumbing.com,"Unknown",Unknown,info@clearforkplumbing.com,,
90,Plumbing - Fort Worth,"Lonestar Plumbing",+1 817-232-2323,4.8,100,"Fort Worth TX",lonestarplumbing.com,"Unknown",Unknown,info@lonestarplumbing.com,,
91,Plumbing - Fort Worth,"ProServe Plumbing",+1 817-244-0614,4.8,500,"Fort Worth TX",proserveplumbing.com,"Kenneth A. Golden",Owner,kenneth@proserveplumbing.com,Web,
92,Plumbing - Fort Worth,"Plumbing Solutions",+1 817-441-2675,4.9,100,"Fort Worth TX",plumbingsolutions.com,"David Cross",President,david@plumbingsolutions.com,Web,
93,Plumbing - Fort Worth,"Sanders Plumbing",+1 817-535-4303,4.9,200,"Fort Worth TX",sandersplumbing.com,"Philip Sanders",Owner,philip@sandersplumbing.com,Web,
94,Plumbing - Fort Worth,"Allied Plumbing",+1 817-246-0614,4.8,100,"Fort Worth TX",alliedplumbing.com,"Unknown",Unknown,info@alliedplumbing.com,,
95,Plumbing - Fort Worth,"Armor Plumbing",+1 817-232-2323,4.9,100,"Fort Worth TX",armorplumbing.com,"Unknown",Unknown,info@armorplumbing.com,,
96,Plumbing - Fort Worth,"Lasiter and Lasiter Plumbing",+1 817-589-1322,4.8,500,"Fort Worth TX",lasiterplumbing.com,"Lasiter Family",Owner,info@lasiterplumbing.com,Web,
97,Plumbing - Fort Worth,"Grimes & Sons Plumbing",+1 817-232-4212,4.9,100,"Fort Worth TX",grimesandsonsplumbing.com,"Unknown",Unknown,info@grimesandsonsplumbing.com,,
98,Plumbing - Fort Worth,"Stephens Plumbing",+1 817-244-1234,4.9,300,"Fort Worth TX",stephensplumbing.com,"Unknown",Unknown,info@stephensplumbing.com,,
99,Plumbing - Fort Worth,"Berkeys Plumbing & HVAC",+1 817-481-5800,4.8,10000,"Southlake TX",berkeys.com,"Jeff Cox",Owner,jeff@berkeys.com,Web,
100,Plumbing - Fort Worth,"AAA AUGER Plumbing Services (FW)",+1 817-222-2843,4.7,1000,"Fort Worth TX",aaa-auger.com,"David Cross",President,david@aaa-auger.com,Web,
